ID,Case Number,Date,Primary Type,Crime Category,Description,Location Description,Arrest,District,Latitude,Longitude,Year,Month,Month_Name,Day,Hour,DayOfWeek,Day_Name,IsWeekend,IsNight,Hour_sin,Hour_cos,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,X_meters,Y_meters,Grid_Lat,Grid_Lon,Grid_ID,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
1000010,JG280898,2023-07-13 12:57:00,THEFT,Property,THEFT,STREET,False,District 18,41.92583975649863,-87.61728904386005,2023,7,Jul,13,12,3,Thursday,0,0,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-7252809.403245683,4661947.1155821085,41.93,-87.62,41.93_-87.62,1,-1,0
1000011,JG613417,2023-05-22 17:01:49,BURGLARY,Property,BURGLARY,RESIDENCE,True,District 2,41.78762365979264,-87.58865534545473,2023,5,May,22,17,0,Monday,0,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,0.0,1.0,-7250439.154641666,4646578.16561932,41.79,-87.59,41.79_-87.59,2,2,3
1000012,JG774049,2023-02-11 23:32:44,THEFT,Property,THEFT,RESIDENCE,True,District 1,41.86599097588562,-87.65196611898952,2023,2,Feb,11,23,5,Saturday,1,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-7255679.91224363,4655292.225619966,41.87,-87.65,41.87_-87.65,4,0,0
1000013,JG560020,2024-01-23 21:12:16,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,RESIDENCE,False,District 20,41.95803986283167,-87.66712827772466,2024,1,Jan,23,21,1,Tuesday,0,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-7256935.009823659,4665527.608989339,41.96,-87.67,41.96_-87.67,3,3,2
1000014,JG645769,2023-02-07 09:26:34,ASSAULT,Violent,ASSAULT,RESIDENCE,False,District 1,41.88508547353656,-87.6173715215657,2023,2,Feb,7,9,1,Tuesday,0,0,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-7252816.23060916,4657415.439818282,41.89,-87.62,41.89_-87.62,4,0,0
1000015,JG447285,2023-01-27 19:32:02,THEFT,Property,THEFT,RESIDENCE,True,District 20,41.971714009318745,-87.66352868352979,2023,1,Jan,27,19,4,Friday,0,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-7256637.041569798,4667048.1068050945,41.97,-87.66,41.97_-87.66,3,3,2
1000016,JG579855,2023-03-19 09:11:13,THEFT,Property,THEFT,RESIDENCE,False,District 20,41.95610216052543,-87.63940494233901,2023,3,Mar,19,9,6,Sunday,1,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-7254640.119514125,4665312.146025929,41.96,-87.64,41.96_-87.64,3,3,2
1000017,JG497410,2023-06-08 15:30:35,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,RESIDENCE,False,District 18,41.90665659613641,-87.64657491115238,2023,6,Jun,8,15,3,Thursday,0,0,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-7255233.637275266,4659814.042526498,41.910000000000004,-87.65,41.91_-87.65,1,0,0
1000018,JG326406,2023-02-27 07:14:17,ASSAULT,Violent,ASSAULT,RESIDENCE,False,District 20,41.96174604148182,-87.65586125243038,2023,2,Feb,27,7,0,Monday,0,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,0.0,1.0,-7256002.344731041,4665939.717821702,41.96,-87.66,41.96_-87.66,3,3,2
1000019,JG587406,2023-04-23 01:53:08,BATTERY,Violent,BATTERY,APARTMENT,False,District 20,41.99214521103461,-87.65006546247209,2023,4,Apr,23,1,6,Sunday,1,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-7255522.579146333,4669319.955919158,41.99,-87.65,41.99_-87.65,3,3,2
1000020,JG372395,2024-02-14 13:43:24,THEFT,Property,THEFT,RESIDENCE,True,District 18,41.887716339319816,-87.63485209722465,2024,2,Feb,14,13,2,Wednesday,0,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-7254263.242778754,4657707.979150134,41.89,-87.63,41.89_-87.63,1,0,0
1000021,JG163356,2023-01-06 10:21:43,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,SIDEWALK,False,District 1,41.86107499449691,-87.61520511735725,2023,1,Jan,6,10,4,Friday,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-7252636.899372302,4654745.592675022,41.86,-87.62,41.86_-87.62,4,0,4
1000022,JG969601,2024-05-10 20:58:00,ASSAULT,Violent,ASSAULT,RESIDENCE,False,District 2,41.77858700255592,-87.6219307541914,2024,5,May,10,20,4,Friday,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,-7253193.6360918,4645573.333792841,41.78,-87.62,41.78_-87.62,2,2,3
1000023,JG366173,2023-08-06 17:52:32,THEFT,Property,THEFT,RESIDENCE,True,District 1,41.87555406293946,-87.63577616311656,2023,8,Aug,6,17,6,Sunday,1,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-7254339.735373574,4656355.593852198,41.88,-87.64,41.88_-87.64,4,0,0
1000024,JG692684,2023-07-24 01:51:12,BURGLARY,Property,BURGLARY,RESIDENCE,False,District 2,41.79101737997829,-87.58478538685895,2023,7,Jul,24,1,0,Monday,0,1,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-7250118.806084895,4646955.530607655,41.79,-87.58,41.79_-87.58,2,2,3
1000025,JG169049,2024-01-24 20:11:28,BURGLARY,Property,BURGLARY,STREET,False,District 20,41.9906623456026,-87.65234225388463,2024,1,Jan,24,20,2,Wednesday,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-7255711.048047234,4669155.0685784705,41.99,-87.65,41.99_-87.65,3,3,2
1000026,JG791347,2023-09-28 03:11:20,BATTERY,Violent,BATTERY,CONVENIENCE STORE,False,District 18,41.889420437807686,-87.63914956013785,2023,9,Sep,28,3,3,Thursday,0,1,0.7071067811865476,0.7071067811865476,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-7254618.979412095,4657897.46651822,41.89,-87.64,41.89_-87.64,1,0,0
1000027,JG141138,2023-06-15 02:16:00,THEFT,Property,THEFT,STREET,False,District 20,41.94233788742924,-87.64996274878555,2023,6,Jun,15,2,3,Thursday,0,1,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-7255514.076682953,4663781.626574642,41.94,-87.65,41.94_-87.65,3,-1,2
1000028,JG347959,2024-02-22 19:02:14,BATTERY,Violent,BATTERY,STREET,False,District 1,41.88353523591841,-87.63212485271691,2024,2,Feb,22,19,3,Thursday,0,0,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-7254037.486140692,4657243.06102195,41.88,-87.63,41.88_-87.63,4,0,0
1000029,JG432610,2023-09-08 10:26:34,NARCOTICS,Public Order,NARCOTICS,STREET,False,District 18,41.88118331829839,-87.61434457765877,2023,9,Sep,8,10,4,Friday,0,0,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-7252565.665367175,4656981.53935349,41.88,-87.61,41.88_-87.61,4,0,0
1000030,JG891904,2023-11-15 15:03:52,BATTERY,Violent,BATTERY,STREET,False,District 2,41.78477739034586,-87.62442906470787,2023,11,Nov,15,15,2,Wednesday,0,0,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-7253400.441965432,4646261.67445982,41.78,-87.62,41.78_-87.62,2,2,3
1000031,JG532692,2024-03-20 07:52:40,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,SIDEWALK,False,District 1,41.8793281721906,-87.63585652992768,2024,3,Mar,20,7,2,Wednesday,0,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-7254346.38800081,4656775.256233188,41.88,-87.64,41.88_-87.64,4,0,0
1000032,JG320833,2023-12-05 12:58:21,THEFT,Property,THEFT,RESIDENCE,True,District 1,41.88383304919321,-87.63342640102634,2023,12,Dec,5,12,1,Tuesday,0,0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,-7254145.2260847185,4657276.176392936,41.88,-87.63,41.88_-87.63,4,0,0
1000033,JG769088,2023-10-06 14:21:02,THEFT,Property,THEFT,APARTMENT,True,District 1,41.88217785157024,-87.62990332209922,2023,10,Oct,6,14,4,Friday,0,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-7253853.591633918,4657092.126560448,41.88,-87.63,41.88_-87.63,4,0,0
1000034,JG517430,2024-03-21 01:53:19,ASSAULT,Violent,ASSAULT,STREET,True,District 15,41.881895966728514,-87.75067602801755,2024,3,Mar,21,1,3,Thursday,0,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-7263850.949766072,4657060.782352855,41.88,-87.75,41.88_-87.75,0,1,1
1000035,JG802009,2024-05-12 23:53:51,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,STREET,False,District 18,41.90936246367054,-87.61450743945112,2024,5,May,12,23,6,Sunday,1,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-7252579.146787928,4660114.921684058,41.910000000000004,-87.61,41.91_-87.61,1,0,0
1000036,JG309091,2023-03-18 20:46:04,THEFT,Property,THEFT,STREET,False,District 1,41.87217881021356,-87.61687572348322,2023,3,Mar,18,20,5,Saturday,1,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-7252775.18929147,4655980.282354534,41.87,-87.62,41.87_-87.62,4,0,4
1000037,JG135297,2023-12-03 09:15:57,THEFT,Property,THEFT,RESIDENCE,False,District 1,41.89857925944415,-87.61756974818111,2023,12,Dec,3,9,6,Sunday,1,0,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,-7252832.63946951,4658915.88242493,41.9,-87.62,41.9_-87.62,1,0,0
1000038,JG847727,2023-03-04 02:17:44,THEFT,Property,THEFT,APARTMENT,False,District 18,41.90028904079155,-87.65112022951345,2023,3,Mar,4,2,5,Saturday,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-7255609.890958867,4659106.001699036,41.9,-87.65,41.9_-87.65,1,0,0
1000039,JG567879,2024-05-30 17:34:54,THEFT,Property,THEFT,RESIDENCE,False,District 15,41.89864657859154,-87.76375312327608,2024,5,May,30,17,3,Thursday,0,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-7264933.449355972,4658923.367982925,41.9,-87.76,41.9_-87.76,0,1,1
1000040,JG715356,2023-06-03 14:52:36,ASSAULT,Violent,ASSAULT,STREET,False,District 18,41.88821905969078,-87.62621429482053,2023,6,Jun,3,14,5,Saturday,1,0,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-7253548.220262266,4657763.879182119,41.89,-87.63,41.89_-87.63,1,0,0
1000041,JG430153,2024-01-22 09:41:23,THEFT,Property,THEFT,CONVENIENCE STORE,False,District 20,41.99056663829301,-87.61925172197222,2024,1,Jan,22,9,0,Monday,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,-7252971.870384565,4669144.426396502,41.99,-87.62,41.99_-87.62,3,-1,2
1000042,JG199389,2024-01-28 09:37:13,BATTERY,Violent,BATTERY,STREET,False,District 1,41.8608195026278,-87.61312981841441,2024,1,Jan,28,9,6,Sunday,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-7252465.109673585,4654717.183236137,41.86,-87.61,41.86_-87.61,4,0,4
1000043,JG467810,2023-10-29 17:37:38,THEFT,Property,THEFT,RESIDENCE,False,District 15,41.89861169014613,-87.74446100884228,2023,10,Oct,29,17,6,Sunday,1,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-7263336.481103463,4658919.48855944,41.9,-87.74,41.9_-87.74,0,1,1
1000044,JG497878,2023-08-16 08:36:04,THEFT,Property,THEFT,RESIDENCE,True,District 1,41.88081545923399,-87.61793637994393,2023,8,Aug,16,8,2,Wednesday,0,0,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-7252862.98862007,4656940.63523531,41.88,-87.62,41.88_-87.62,4,0,0
1000045,JG988170,2023-05-09 14:07:04,ASSAULT,Violent,ASSAULT,STREET,False,District 1,41.8801979961439,-87.64683596849304,2023,5,May,9,14,1,Tuesday,0,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-7255255.247155642,4656871.976377465,41.88,-87.65,41.88_-87.65,4,0,0
1000046,JG271568,2023-06-03 17:00:34,THEFT,Property,THEFT,STREET,True,District 15,41.90001401277856,-87.77486296166745,2023,6,Jun,3,17,5,Saturday,1,0,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-7265853.102785481,4659075.419937066,41.9,-87.77,41.9_-87.77,0,1,1
1000047,JG495881,2024-02-22 23:03:11,MOTOR VEHICLE THEFT,Property,MOTOR VEHICLE THEFT,STREET,True,District 18,41.90173972831917,-87.61624254668635,2024,2,Feb,22,23,3,Thursday,0,1,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-7252722.775998656,4659267.311015064,41.9,-87.62,41.9_-87.62,1,0,0
1000048,JG176720,2024-03-24 10:43:27,BATTERY,Violent,BATTERY,APARTMENT,False,District 15,41.880788306920245,-87.759457934066,2024,3,Mar,24,10,6,Sunday,1,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-7264577.900935889,4656937.616031604,41.88,-87.76,41.88_-87.76,0,1,1
1000049,JG619072,2023-06-19 16:22:08,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,RESIDENCE,False,District 1,41.888644082578296,-87.63315432311471,2023,6,Jun,19,16,0,Monday,0,0,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,0.0,1.0,-7254122.703940317,4657811.139636197,41.89,-87.63,41.89_-87.63,1,0,0
1000050,JG850648,2023-03-06 17:44:49,BATTERY,Violent,BATTERY,APARTMENT,True,District 20,42.00701306590874,-87.65348728397787,2023,3,Mar,6,17,0,Monday,0,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,-7255805.831680898,4670973.188234787,42.01,-87.65,42.01_-87.65,3,-1,2
1000051,JG360776,2023-05-29 06:47:37,THEFT,Property,THEFT,RESIDENCE,False,District 1,41.86654381248721,-87.61611947998863,2023,5,May,29,6,0,Monday,0,0,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,0.0,1.0,-7252712.588747803,4655353.698330236,41.87,-87.62,41.87_-87.62,4,0,4
1000052,JG923671,2023-11-22 23:20:52,NARCOTICS,Public Order,NARCOTICS,RESIDENCE,False,District 15,41.88971041133342,-87.75113522854873,2023,11,Nov,22,23,2,Wednesday,0,1,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,-7263888.961601029,4657929.710147679,41.89,-87.75,41.89_-87.75,0,1,1
1000053,JG516119,2023-08-13 23:34:10,BATTERY,Violent,BATTERY,SIDEWALK,False,District 2,41.77957045321186,-87.59012130287135,2023,8,Aug,13,23,6,Sunday,1,1,-0.25881904510252157,0.9659258262890681,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-7250560.504090528,4645682.688667433,41.78,-87.59,41.78_-87.59,2,2,3
1000054,JG340387,2024-03-02 02:05:02,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,PARKING LOT,True,District 20,41.96308744056947,-87.6619815144469,2024,3,Mar,2,2,5,Saturday,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-7256508.969558039,4666088.874800879,41.96,-87.66,41.96_-87.66,3,3,2
1000055,JG772531,2024-04-16 00:53:34,THEFT,Property,THEFT,STREET,False,District 2,41.79256089926321,-87.57631887538776,2024,4,Apr,16,0,1,Tuesday,0,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-7249417.962739008,4647127.162358383,41.79,-87.58,41.79_-87.58,2,2,3
1000056,JG899092,2023-01-31 00:10:50,ASSAULT,Violent,ASSAULT,STREET,False,District 15,41.903889082106346,-87.76078094796728,2023,1,Jan,31,0,1,Tuesday,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-7264687.417764912,4659506.308581878,41.9,-87.76,41.9_-87.76,0,1,1
1000057,JG158200,2023-10-09 10:32:07,BATTERY,Violent,BATTERY,SIDEWALK,False,District 15,41.87969190284288,-87.74215193554159,2023,10,Oct,9,10,0,Monday,0,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.0,1.0,-7263145.339963047,4656815.701292252,41.88,-87.74,41.88_-87.74,0,1,1
1000058,JG535874,2023-05-14 05:11:17,BURGLARY,Property,BURGLARY,PARKING LOT,False,District 20,41.97785338943845,-87.65119909512627,2023,5,May,14,5,6,Sunday,1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-7255616.419319474,4667730.77567009,41.980000000000004,-87.65,41.98_-87.65,3,3,2
1000059,JG229267,2023-12-29 13:49:35,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,CONVENIENCE STORE,True,District 18,41.90974827594,-87.63389771078162,2023,12,Dec,29,13,4,Friday,0,0,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,-7254184.240300546,4660157.822110316,41.910000000000004,-87.63,41.91_-87.63,1,0,0
1000060,JG123289,2023-10-19 10:14:01,BATTERY,Violent,BATTERY,RESIDENCE,False,District 15,41.893987553898114,-87.75903346709127,2023,10,Oct,19,10,3,Thursday,0,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,-7264542.764285356,4658405.307358329,41.89,-87.76,41.89_-87.76,0,1,1
1000061,JG239060,2023-12-19 13:23:52,THEFT,Property,THEFT,STREET,False,District 18,41.89448027357731,-87.64598300484961,2023,12,Dec,19,13,1,Tuesday,0,0,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,-7255184.6402834,4658460.095362591,41.89,-87.65,41.89_-87.65,1,0,0
1000062,JG402118,2023-04-25 13:48:30,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,STREET,False,District 18,41.87103804194023,-87.62899773641288,2023,4,Apr,25,13,1,Tuesday,0,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-7253778.628798922,4655853.434534852,41.87,-87.63,41.87_-87.63,4,0,0
1000063,JG724725,2024-06-19 04:17:40,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,PARKING LOT,True,District 1,41.86738255671645,-87.63448744146353,2024,6,Jun,19,4,2,Wednesday,0,1,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-7254233.057198237,4655446.962562102,41.87,-87.63,41.87_-87.63,4,0,4
1000064,JG145154,2024-05-01 02:14:43,THEFT,Property,THEFT,RESIDENCE,True,District 20,41.98079491614075,-87.67259220529625,2024,5,May,1,2,2,Wednesday,0,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-7257387.304407324,4668057.8589677615,41.980000000000004,-87.67,41.98_-87.67,3,3,2
1000065,JG888853,2024-04-05 06:54:39,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,STREET,False,District 1,41.90676843148872,-87.60399220738351,2024,4,Apr,5,6,4,Friday,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,-7251708.713853409,4659826.478067473,41.910000000000004,-87.60000000000001,41.91_-87.6,1,0,0
1000066,JG160149,2023-04-08 01:40:15,BATTERY,Violent,BATTERY,PARKING LOT,False,District 15,41.89138171933912,-87.75531096376386,2023,4,Apr,8,1,5,Saturday,1,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,-7264234.621823619,4658115.551375467,41.89,-87.76,41.89_-87.76,0,1,1
1000067,JG343182,2024-04-18 20:39:43,THEFT,Property,THEFT,STREET,False,District 20,41.96886601506937,-87.67816785302726,2024,4,Apr,18,20,3,Thursday,0,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-7257848.846994797,4666731.423856032,41.97,-87.68,41.97_-87.68,3,3,2
1000068,JG431611,2023-04-04 11:45:04,THEFT,Property,THEFT,SIDEWALK,False,District 1,41.86883817106692,-87.60654177577149,2023,4,Apr,4,11,1,Tuesday,0,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,-7251919.762766018,4655608.819716591,41.87,-87.61,41.87_-87.61,4,0,4
1000069,JG302633,2024-04-12 06:42:26,ASSAULT,Violent,ASSAULT,RESIDENCE,False,District 1,41.88191320438925,-87.65237118230044,2024,4,Apr,12,6,4,Friday,0,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,-7255713.442692042,4657062.699095923,41.88,-87.65,41.88_-87.65,4,0,0
1000070,JG351087,2023-01-15 09:03:05,CRIMINAL DAMAGE,Property,CRIMINAL DAMAGE,STREET,True,District 15,41.89572755518552,-87.73838108618928,2023,1,Jan,15,9,6,Sunday,1,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-7262833.195500017,4658598.78694109,41.9,-87.74,41.9_-87.74,0,1,1
