ID,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude
FIR-BENGALURU-2023-00027,2023-05-21 00:12:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.957832515382156,77.58501773102009
FIR-BENGALURU-2024-00028,2024-10-03 16:19:00,ROBBERY,ROBBERY incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.93177005711333,77.63217164318088
FIR-BENGALURU-2024-00029,2024-05-12 01:08:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.930044298629328,77.5946886441442
FIR-BENGALURU-2026-00030,2026-05-07 19:03:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.919401847576843,77.57556731791219
FIR-BENGALURU-2026-00031,2026-07-15 19:45:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.914748831665076,77.62160699229348
FIR-BENGALURU-2025-00032,2025-10-16 13:04:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.990576566354171,77.62414559173605
FIR-BENGALURU-2025-00033,2025-03-28 00:16:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.943366464557993,77.59834498129777
FIR-BENGALURU-2025-00034,2025-04-01 07:37:00,CYBER,CYBER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),True,IT Corridor (Whitefield),12.962907771948515,77.73307411736205
FIR-BENGALURU-2023-00035,2023-06-29 17:32:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.920036109404338,77.57461007081444
FIR-BENGALURU-2026-00036,2026-01-21 14:45:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.927169056615949,77.63704057311978
FIR-BENGALURU-2026-00037,2026-07-16 09:08:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),True,Central (Majestic/MG Road),13.00293031806485,77.58346577908543
FIR-BENGALURU-2024-00038,2024-02-26 01:01:00,ROBBERY,ROBBERY incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.909893903371042,77.61917466280462
FIR-BENGALURU-2024-00039,2024-12-18 03:52:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.915598016058041,77.58283828683352
FIR-BENGALURU-2023-00040,2023-01-31 04:14:00,ASSAULT,ASSAULT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.973892649240645,77.6680191046576
FIR-BENGALURU-2025-00041,2025-08-16 23:39:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.91175019315352,77.60428756131533
FIR-BENGALURU-2026-00042,2026-01-06 03:29:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),True,East (Indiranagar),12.977037747139564,77.64930818604658
FIR-BENGALURU-2026-00043,2026-03-24 04:22:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.924844938336772,77.58057636834192
FIR-BENGALURU-2026-00044,2026-07-23 03:01:00,ROBBERY,ROBBERY incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),True,IT Corridor (Whitefield),12.989576247804075,77.75864274827228
FIR-BENGALURU-2024-00045,2024-12-25 15:31:00,BURGLARY,BURGLARY incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.958029495620673,77.63897498285627
FIR-BENGALURU-2026-00046,2026-07-30 15:55:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.947953899051031,77.57021786738181
FIR-BENGALURU-2025-00047,2025-04-04 19:48:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.943358496536447,77.74775762232119
FIR-BENGALURU-2024-00048,2024-03-04 10:33:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.975707734816387,77.65019325795217
FIR-BENGALURU-2023-00049,2023-02-23 19:50:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.933464215203816,77.58578371360991
FIR-BENGALURU-2024-00050,2024-09-06 18:14:00,ROBBERY,ROBBERY incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.991257975341313,77.5929118127907
FIR-BENGALURU-2025-00051,2025-06-30 17:58:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.952214842622912,77.57749017727352
FIR-BENGALURU-2023-00052,2023-02-12 14:07:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.951746587942994,77.5597865657058
FIR-BENGALURU-2024-00053,2024-05-31 18:50:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.991200909226594,77.63214248103327
FIR-BENGALURU-2026-00054,2026-02-10 22:50:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.99117843896615,77.54501776916882
FIR-BENGALURU-2024-00055,2024-06-02 17:17:00,ASSAULT,ASSAULT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.950633903072692,77.74857649779601
FIR-BENGALURU-2026-00056,2026-05-09 20:54:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.928878348583856,77.63419518162844
FIR-BENGALURU-2024-00057,2024-03-08 10:34:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),13.009440211823932,77.56662242306975
FIR-BENGALURU-2024-00058,2024-11-04 15:31:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.976091991743413,77.62421576161161
FIR-BENGALURU-2023-00059,2023-01-21 01:51:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.92143239317364,77.58462668273505
FIR-BENGALURU-2023-00060,2023-09-01 16:13:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.939298780350605,77.57932989091391
FIR-BENGALURU-2026-00061,2026-04-11 06:14:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.946082429280048,77.6229118991074
FIR-BENGALURU-2025-00062,2025-01-13 19:38:00,ROBBERY,ROBBERY incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.972217118506315,77.57416136844829
FIR-BENGALURU-2025-00063,2025-08-09 03:17:00,CYBER,CYBER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.956671966458472,77.77508155464979
FIR-BENGALURU-2023-00064,2023-01-08 15:38:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.983072253857323,77.53395405576852
FIR-BENGALURU-2026-00065,2026-07-09 04:44:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.984884528125043,77.57605067700918
FIR-BENGALURU-2023-00066,2023-07-06 16:18:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.940936982932604,77.62900694955302
FIR-BENGALURU-2023-00067,2023-07-19 18:59:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.937280568624278,77.59158353605633
FIR-BENGALURU-2023-00068,2023-02-14 08:08:00,ROBBERY,ROBBERY incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.936820626643618,77.62834499147067
FIR-BENGALURU-2025-00069,2025-05-07 09:50:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.965583490982835,77.58829676396756
FIR-BENGALURU-2025-00070,2025-02-02 13:08:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.975697114473732,77.60508382022715
FIR-BENGALURU-2024-00071,2024-12-11 18:54:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.983413327601784,77.58789378817728
FIR-BENGALURU-2023-00072,2023-03-08 21:03:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),True,IT Corridor (Whitefield),12.963030349375757,77.76200400861035
FIR-BENGALURU-2025-00073,2025-12-28 09:09:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),True,South East (Koramangala),12.931185385376335,77.63405957028142
FIR-BENGALURU-2026-00074,2026-06-06 08:02:00,CYBER,CYBER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.954768595545298,77.7608332908701
FIR-BENGALURU-2023-00075,2023-07-10 02:14:00,BURGLARY,BURGLARY incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.922379616792968,77.61464234354581
FIR-BENGALURU-2025-00076,2025-01-17 21:39:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),True,South East (Koramangala),12.9264550993615,77.61439945276821
FIR-BENGALURU-2026-00077,2026-07-12 01:17:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.932434600964474,77.63729973037861
FIR-BENGALURU-2023-00078,2023-03-18 11:45:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.971282571445943,77.63618272355232
FIR-BENGALURU-2026-00079,2026-01-07 04:32:00,OTHER,OTHER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.961404134598022,77.60184598383923
FIR-BENGALURU-2025-00080,2025-05-17 13:39:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),True,Central (Majestic/MG Road),12.977379222771358,77.58145373157348
FIR-BENGALURU-2025-00081,2025-01-15 11:56:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.991238094745656,77.56849141088291
FIR-BENGALURU-2023-00082,2023-09-02 05:07:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.958401315576127,77.63075936743587
FIR-BENGALURU-2025-00083,2025-08-26 14:13:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.938890134460383,77.57924660799951
FIR-BENGALURU-2023-00084,2023-12-21 05:32:00,ASSAULT,ASSAULT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),True,Central (Majestic/MG Road),12.95031580156401,77.59284811172327
FIR-BENGALURU-2024-00085,2024-12-02 13:48:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.927005698110962,77.61812356842167
FIR-BENGALURU-2025-00086,2025-04-28 09:11:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.950233742476287,77.63671012054589
FIR-BENGALURU-2024-00087,2024-01-19 20:57:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.989997374236156,77.75094364965979
FIR-BENGALURU-2024-00088,2024-12-08 20:31:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.978501849052376,77.63698050259818
FIR-BENGALURU-2023-00089,2023-01-26 22:50:00,ASSAULT,ASSAULT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),13.00261310349476,77.72662506897633
FIR-BENGALURU-2024-00090,2024-03-20 12:21:00,ASSAULT,ASSAULT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.970311109171142,77.74725968534231
FIR-BENGALURU-2024-00091,2024-04-18 11:33:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),True,South East (Koramangala),12.916362508036967,77.6218354089452
FIR-BENGALURU-2024-00092,2024-07-22 05:57:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.949081759191882,77.6240566799624
FIR-BENGALURU-2025-00093,2025-07-14 17:30:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.954178692410748,77.5477382661922
FIR-BENGALURU-2023-00094,2023-07-29 19:48:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.933957923226528,77.55937298779897
FIR-BENGALURU-2025-00095,2025-08-01 13:51:00,CYBER,CYBER incident reported in North (Malleswaram),North (Malleswaram),True,North (Malleswaram),13.008896177222434,77.58544915626032
FIR-BENGALURU-2024-00096,2024-03-11 04:20:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.942297086864185,77.62910449783074
FIR-BENGALURU-2023-00097,2023-01-15 06:53:00,THEFT,THEFT incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),13.000701284401433,77.55401064369458
FIR-BENGALURU-2024-00098,2024-02-03 08:48:00,CYBER,CYBER incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),13.005447465870196,77.57311724555787
FIR-BENGALURU-2024-00099,2024-10-12 01:53:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.937047443133755,77.62996106945913
FIR-BENGALURU-2026-00100,2026-03-13 20:58:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.924008503470702,77.61117711567499
FIR-BENGALURU-2024-00101,2024-12-10 18:01:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.94903746759346,77.6252829486467
FIR-BENGALURU-2024-00102,2024-03-13 02:39:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.920151046222042,77.55982375370478
FIR-BENGALURU-2026-00103,2026-03-11 14:12:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.989314118230972,77.74387772022493
FIR-BENGALURU-2023-00104,2023-07-17 00:21:00,ROBBERY,ROBBERY incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.990570376466149,77.62250728634712
FIR-BENGALURU-2025-00105,2025-08-02 12:50:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.943565223694652,77.57386185505852
FIR-BENGALURU-2026-00106,2026-05-21 05:52:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.935065541687546,77.63070090039676
FIR-BENGALURU-2024-00107,2024-02-27 02:29:00,OTHER,OTHER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.92298718879811,77.61928306916542
FIR-BENGALURU-2024-00108,2024-12-19 06:20:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.980001177122615,77.57364064632668
FIR-BENGALURU-2023-00109,2023-01-18 12:10:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.940628526406282,77.56424197769915
FIR-BENGALURU-2023-00110,2023-04-09 22:54:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.941740425246621,77.58017630739089
FIR-BENGALURU-2023-00111,2023-07-02 07:39:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.997680195553256,77.57096812596568
FIR-BENGALURU-2023-00112,2023-08-25 15:01:00,ROBBERY,ROBBERY incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.980635706637205,77.57889325284484
FIR-BENGALURU-2023-00113,2023-01-05 06:38:00,ASSAULT,ASSAULT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.931707893658517,77.61482409463636
FIR-BENGALURU-2024-00114,2024-09-29 01:21:00,ASSAULT,ASSAULT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),True,Central (Majestic/MG Road),12.971345311198611,77.57536945753662
FIR-BENGALURU-2025-00115,2025-03-11 01:49:00,ASSAULT,ASSAULT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.948227252834133,77.57735518205422
FIR-BENGALURU-2026-00116,2026-04-02 18:52:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),True,South East (Koramangala),12.931506864421968,77.59123974164962
FIR-BENGALURU-2026-00117,2026-04-14 09:35:00,THEFT,THEFT incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.956843912251028,77.65116722468665
FIR-BENGALURU-2024-00118,2024-02-27 20:11:00,ROBBERY,ROBBERY incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.96600406261757,77.76402443442679
FIR-BENGALURU-2025-00119,2025-02-18 00:17:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.93825419522062,77.65544318152254
FIR-BENGALURU-2024-00120,2024-11-17 03:11:00,THEFT,THEFT incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),12.982229739204794,77.59065087608731
FIR-BENGALURU-2025-00121,2025-12-29 04:28:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.928559050377405,77.60939908985678
FIR-BENGALURU-2025-00122,2025-07-03 21:10:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.974951444662336,77.56284496800299
FIR-BENGALURU-2026-00123,2026-01-30 19:06:00,ROBBERY,ROBBERY incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.899442904486339,77.59405053378886
FIR-BENGALURU-2024-00124,2024-02-10 00:07:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.959808020195036,77.76330828874968
FIR-BENGALURU-2023-00125,2023-07-30 01:14:00,CYBER,CYBER incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),True,IT Corridor (Whitefield),12.964905706975788,77.76327186330634
FIR-BENGALURU-2023-00126,2023-08-09 03:50:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.98971653527412,77.62332070258587
FIR-BENGALURU-2025-00127,2025-01-28 09:13:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.997128210454628,77.64176569296012
FIR-BENGALURU-2026-00128,2026-02-13 15:06:00,ASSAULT,ASSAULT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.991656877185504,77.5972343611104
FIR-BENGALURU-2025-00129,2025-03-12 04:29:00,BURGLARY,BURGLARY incident reported in North (Malleswaram),North (Malleswaram),True,North (Malleswaram),13.011704864487818,77.54625828811938
FIR-BENGALURU-2024-00130,2024-09-13 02:31:00,THEFT,THEFT incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),13.002726349526277,77.57499943457304
FIR-BENGALURU-2026-00131,2026-04-03 17:56:00,BURGLARY,BURGLARY incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.978385753711164,77.73091743894966
FIR-BENGALURU-2025-00132,2025-09-15 02:25:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.957119653934791,77.56885038563276
FIR-BENGALURU-2026-00133,2026-06-23 13:11:00,ROBBERY,ROBBERY incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.924072791149028,77.62604064428169
FIR-BENGALURU-2024-00134,2024-03-25 19:38:00,CYBER,CYBER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.96404547049405,77.64049098790399
FIR-BENGALURU-2026-00135,2026-02-09 10:22:00,ROBBERY,ROBBERY incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),13.012937424612348,77.57453036449486
FIR-BENGALURU-2023-00136,2023-04-23 08:33:00,THEFT,THEFT incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.929410372195,77.62569620269196
FIR-BENGALURU-2025-00137,2025-04-09 21:49:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.974157089398744,77.59692397416701
FIR-BENGALURU-2023-00138,2023-02-20 21:04:00,OTHER,OTHER incident reported in East (Indiranagar),East (Indiranagar),False,East (Indiranagar),12.971793567238217,77.64260585103024
FIR-BENGALURU-2025-00139,2025-05-30 16:47:00,ROBBERY,ROBBERY incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.953118251379898,77.57311363190169
FIR-BENGALURU-2023-00140,2023-09-22 13:05:00,OTHER,OTHER incident reported in North (Malleswaram),North (Malleswaram),False,North (Malleswaram),13.022110506556393,77.55388172760486
FIR-BENGALURU-2026-00141,2026-05-13 17:46:00,ASSAULT,ASSAULT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.91992514815732,77.56615123870006
FIR-BENGALURU-2026-00142,2026-04-13 06:05:00,CYBER,CYBER incident reported in Central (Majestic/MG Road),Central (Majestic/MG Road),False,Central (Majestic/MG Road),12.978363554572919,77.56381000394359
FIR-BENGALURU-2026-00143,2026-08-13 20:44:00,THEFT,THEFT incident reported in IT Corridor (Whitefield),IT Corridor (Whitefield),False,IT Corridor (Whitefield),12.96353638102234,77.74025940040423
FIR-BENGALURU-2025-00144,2025-02-09 00:30:00,CYBER,CYBER incident reported in South East (Koramangala),South East (Koramangala),False,South East (Koramangala),12.937595948524583,77.65150166673774
FIR-BENGALURU-2024-00145,2024-06-03 10:16:00,CYBER,CYBER incident reported in South (Jayanagar),South (Jayanagar),True,South (Jayanagar),12.943140802515273,77.60183407483088
FIR-BENGALURU-2025-00146,2025-04-20 17:05:00,THEFT,THEFT incident reported in South (Jayanagar),South (Jayanagar),False,South (Jayanagar),12.93937854316173,77.57501791447075
